"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Běleč","1 942,83","2 009,02","140,00","0,00","1 500,35","368,36","182,42","1,00","185,00","27,00","29,00","59,00","53,00","6,00","11,00","42,00","6,00","322,42","2 699,80","6,00","-743,38","2 377,38","3 443,18","1,00","1,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Běleč","2 188,47","3 341,19","50,14","31,12","1 898,14","329,48","712,87","2,00","338,00","47,00","55,00","120,00","91,00","15,00","10,00","61,00","20,00","763,01","4 464,80","19,00","378,19","3 701,79","4 086,61","7,00","3,00","3,00","Středočeský kraj","KLADNO","Kladno",NA,NA
"Běleč","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko",NA,NA
"Běleč nad Orlicí","1 949,19","3 083,37","0,00","0,00","386,19","524,31","131,61","7,00","273,00","37,00","46,00","88,00","82,00","10,00","10,00","63,00","8,00","131,61","3 739,29","16,00","1 403,91","3 607,68","2 335,38","11,00","2,00","0,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Bělkovice-Lašťany","13 808,05","15 458,39","32,00","85,75","3 111,06","2 675,21","1 280,54","6,00","2 138,00","293,00","383,00","690,00","636,00","63,00","73,00","434,00","119,00","1 312,54","19 531,89","78,00","2 612,78","18 219,35","16 919,11","46,00","19,00","26,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,NA
"Běloky","1 459,66","1 124,96","0,00","0,00","1 303,07","56,74","245,85","0,00","145,00","22,00","24,00","47,00","37,00","7,00","8,00","35,00","6,00","245,85","1 427,55","7,00","-1 335,18","1 181,70","2 762,73","0,00","0,00","2,00","Středočeský kraj","KLADNO","Kladno",NA,NA
"Bělotín","34 714,78","23 416,31","6 789,32","178,07","7 081,79","6 279,69","6 400,58","4,00","1 779,00","219,00","314,00","576,00","540,00","71,00","59,00","307,00","133,00","13 189,90","43 063,97","59,00","1 267,40","29 874,07","41 796,57","35,00","12,00","27,00","Olomoucký kraj","HRANICE","Přerov",NA,NA
"Bělov","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž",NA,NA
"Bělušice","2 898,41","2 395,84","0,00","16,53","62,34","136,81","584,55","0,00","196,00","21,00","18,00","74,00","69,00","6,00","8,00","48,00","20,00","584,55","3 133,73","14,00","172,98","2 549,18","2 960,75","18,00","1,00","1,00","Ústecký kraj","MOST","Most",NA,NA
"Bělušice","1 824,66","1 883,39","0,00","0,00","4,00","88,45","104,74","0,00","261,00","44,00","38,00","86,00","77,00","6,00","10,00","57,00","16,00","104,74","2 076,58","1,00","247,92","1 971,84","1 828,66","7,00","3,00","4,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Benátky","492,96","1 491,47","0,00","0,00","520,76","75,39","117,30","1,00","105,00","9,00","19,00","37,00","32,00","5,00","3,00","26,00","5,00","117,30","1 684,16","12,00","670,44","1 566,86","1 013,72","5,00","2,00","1,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Benátky","2 764,12","3 102,99","0,00","1 126,45","125,34","259,82","196,35","1,00","365,00","38,00","70,00","113,00","128,00","9,00","7,00","64,00","18,00","196,35","4 685,60","2,00","1 796,13","4 489,26","2 889,47","4,00","3,00","8,00","Pardubický kraj","LITOMYŠL","Svitavy",NA,NA
"Benátky nad Jizerou","112 314,79","121 629,67","46 794,39","727,66","86 834,95","17 296,60","14 321,03","28,00","7 382,00","1 059,00","1 151,00","2 360,00","2 332,00","242,00","238,00","1 646,00","269,00","61 115,42","200 769,35","210,00","1 619,61","139 653,93","199 149,74","178,00","87,00","75,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Benecko","14 000,90","11 328,84","0,00","55,42","757,38","7 846,26","615,47","9,00","1 122,00","189,00","153,00","364,00","334,00","39,00","43,00","357,00","58,00","615,47","19 845,99","36,00","5 087,71","19 230,52","14 758,28","15,00","13,00","11,00","Liberecký kraj","JILEMNICE","Semily","1,00","11,00"
"Benešov","302 454,14","193 442,66","247,59","5 884,79","120 988,44","14 753,20","187 265,16","43,00","16 343,00","2 392,00","2 245,00","5 277,00","5 289,00","623,00","517,00","5 317,00","550,00","187 512,75","401 593,40","375,00","-21 849,18","214 080,65","423 442,58","406,00","180,00","172,00","Středočeský kraj","BENEŠOV","Benešov","4,00","242,00"
"Benešov","5 803,06","5 267,40","1 077,89","2,40","4 287,21","354,62","1 614,69","3,00","662,00","105,00","105,00","217,00","192,00","20,00","23,00","112,00","28,00","2 692,58","8 317,00","10,00","-1 773,27","5 624,42","10 090,27","14,00","6,00","9,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA
"Benešov nad Černou","26 727,31","13 431,61","235,04","6 852,04","2 015,39","13 595,04","2 344,61","0,00","1 323,00","167,00","225,00","416,00","424,00","44,00","47,00","321,00","76,00","2 579,65","36 458,34","81,00","7 715,64","33 878,69","28 742,70","75,00","13,00","21,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA,NA
"Benešov nad Ploučnicí","60 965,98","31 534,00","49,00","4 493,11","685,61","5 853,74","26 879,62","8,00","3 960,00","528,00","648,00","1 266,00","1 148,00","178,00","192,00","855,00","366,00","26 928,62","68 809,47","93,00","7 157,88","41 880,85","61 651,59","121,00","51,00","48,00","Ústecký kraj","DĚČÍN","Děčín",NA,NA
"Benešov u Semil","7 478,00","6 466,04","100,00","52,94","336,39","1 795,03","509,30","3,00","864,00","119,00","154,00","289,00","245,00","36,00","21,00","165,00","47,00","609,30","8 923,31","12,00","1 108,92","8 314,01","7 814,39","22,00","13,00","16,00","Liberecký kraj","SEMILY","Semily",NA,NA
"Benešovice","4 147,64","2 357,38","0,00","140,51","260,10","1 035,43","789,43","2,00","185,00","28,00","23,00","63,00","59,00","8,00","4,00","33,00","12,00","789,43","4 322,75","9,00","-84,99","3 533,32","4 407,74","1,00","1,00","7,00","Plzeňský kraj","STŘÍBRO","Tachov",NA,NA
"Benetice","2 557,06","1 458,67","0,00","8,80","400,00","409,64","579,66","0,00","198,00","33,00","40,00","60,00","54,00","5,00","6,00","24,00","10,00","579,66","2 456,77","3,00","-500,29","1 877,11","2 957,06","2,00","2,00","4,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Beňov","6 192,14","5 730,19","0,00","400,00","796,43","1 214,56","729,11","1,00","710,00","127,00","89,00","235,00","221,00","18,00","20,00","141,00","50,00","729,11","8 073,87","15,00","1 085,30","7 344,75","6 988,57","6,00","8,00","8,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Bernardov","1 216,14","1 378,65","0,00","0,00","0,00","69,64","103,78","0,00","169,00","35,00","21,00","49,00","56,00","3,00","5,00","29,00","11,00","103,78","1 552,07","3,00","335,93","1 448,29","1 216,14","6,00","4,00","1,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA,NA
"Bernartice","14 395,94","12 507,60","1 443,76","2 621,86","5 222,17","1 966,03","2 535,63","6,00","1 286,00","249,00","171,00","414,00","357,00","54,00","41,00","258,00","45,00","3 979,39","21 074,88","26,00","1 456,77","17 095,49","19 618,11","25,00","6,00","18,00","Jihočeský kraj","MILEVSKO","Písek","1,00","26,00"
"Bernartice","2 260,06","2 285,33","0,00","0,00","117,41","790,30","307,43","0,00","218,00","42,00","26,00","63,00","66,00","12,00","9,00","36,00","12,00","307,43","3 383,06","2,00","1 005,59","3 075,63","2 377,47","5,00","2,00","0,00","Středočeský kraj","VLAŠIM","Benešov",NA,NA
"Bernartice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník","2","2"
"Bernartice","14 198,19","7 348,36","5 306,59","918,70","967,00","5 354,27","2 868,78","1,00","875,00","138,00","132,00","287,00","254,00","30,00","34,00","198,00","59,00","8 175,37","21 796,68","30,00","6 631,47","13 621,33","15 165,21","37,00","13,00","7,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA
"Bernartice nad Odrou","9 702,22","7 371,03","2 385,00","43,53","2 572,22","457,26","690,42","6,00","936,00","118,00","174,00","303,00","283,00","26,00","32,00","163,00","50,00","3 075,42","10 947,24","27,00","-1 327,20","7 871,82","12 274,44","27,00","5,00","18,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín",NA,NA
"Beroun","377 162,25","202 622,17","38 983,29","16 239,62","110 187,86","20 851,41","169 312,45","212,00","18 794,00","2 886,00","2 917,00","5 889,00","5 872,00","671,00","559,00","5 236,00","868,00","208 295,74","448 008,94","626,00","-39 341,17","239 713,20","487 350,11","542,00","154,00","248,00","Středočeský kraj","BEROUN","Beroun","3,00","161,00"
"Beřovice","1 740,69","3 479,29","0,00","0,00","1 737,75","184,57","144,42","0,00","383,00","42,00","79,00","121,00","117,00","13,00","11,00","84,00","24,00","144,42","3 808,28","9,00","329,84","3 663,86","3 478,44","13,00","5,00","5,00","Středočeský kraj","SLANÝ","Kladno",NA,NA
"Běrunice","7 829,34","8 800,33","0,00","19,84","2 788,24","443,22","889,56","0,00","866,00","154,00","111,00","277,00","256,00","35,00","33,00","178,00","65,00","889,56","10 152,95","15,00","-464,63","9 263,39","10 617,58","22,00","16,00","9,00","Středočeský kraj","PODĚBRADY","Nymburk",NA,NA
"Besednice","8 362,62","6 754,34","467,54","22,95","1 664,80","2 595,47","905,85","1,00","879,00","122,00","156,00","260,00","282,00","34,00","25,00","174,00","46,00","1 373,39","10 746,15","19,00","718,73","9 372,76","10 027,42","11,00","13,00","12,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA,NA
"Běšiny","8 541,29","7 129,45","3 483,00","1 750,00","7 105,38","1 379,96","2 038,35","2,00","847,00","135,00","139,00","276,00","235,00","26,00","36,00","185,00","43,00","5 521,35","15 780,76","14,00","134,09","10 259,41","15 646,67","15,00","10,00","10,00","Plzeňský kraj","KLATOVY","Klatovy",NA,NA
"Běštín","2 440,21","2 225,27","0,00","27,50","360,56","41,39","115,66","0,00","305,00","50,00","35,00","102,00","86,00","20,00","12,00","50,00","16,00","115,66","2 409,82","8,00","-390,95","2 294,16","2 800,77","2,00","4,00","3,00","Středočeský kraj","HOŘOVICE","Beroun",NA,NA
"Běstovice","5 371,86","4 364,63","150,00","6,59","796,67","167,40","295,65","2,00","445,00","55,00","75,00","155,00","136,00","14,00","10,00","100,00","26,00","445,65","4 984,26","20,00","-1 184,24","4 538,62","6 168,51","13,00","3,00","10,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA,NA
"Běstvina","4 580,98","4 579,99","0,00","45,49","2,16","377,33","387,49","4,00","522,00","93,00","84,00","163,00","129,00","27,00","26,00","91,00","31,00","387,49","5 390,29","14,00","807,20","5 002,81","4 583,09","10,00","8,00","5,00","Pardubický kraj","CHRUDIM","Chrudim",NA,NA
"Bezděčí u Trnávky","2 110,41","2 107,01","0,00","0,00","45,21","181,33","295,24","0,00","225,00","44,00","34,00","68,00","65,00","9,00","5,00","28,00","16,00","295,24","2 583,59","1,00","428,03","2 288,34","2 155,56","5,00","3,00","3,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA,NA
"Bezdědovice","2 963,77","2 423,04","0,00","1,25","625,19","179,03","296,29","1,00","332,00","66,00","47,00","107,00","90,00","12,00","10,00","63,00","20,00","296,29","2 899,61","8,00","-689,35","2 603,32","3 588,96","2,00","3,00","4,00","Jihočeský kraj","BLATNÁ","Strakonice",NA,NA
"Bezděkov","1 614,63","2 495,47","120,00","14,50","1 811,79","140,51","147,08","2,00","262,00","39,00","51,00","81,00","69,00","10,00","12,00","47,00","12,00","267,08","2 917,57","11,00","-508,83","2 650,48","3 426,39","6,00","5,00","1,00","Pardubický kraj","PARDUBICE","Pardubice",NA,NA
"Bezděkov","7 453,67","7 427,91","0,00","11,46","3 405,52","1 307,54","1 288,26","6,00","925,00","131,00","156,00","286,00","280,00","31,00","41,00","193,00","46,00","1 288,26","10 035,17","26,00","-824,02","8 746,91","10 859,19","33,00","8,00","9,00","Plzeňský kraj","KLATOVY","Klatovy",NA,NA
"Bezděkov","1 919,62","2 188,17","0,00","129,60","1 949,52","685,62","233,01","1,00","257,00","55,00","37,00","69,00","74,00","11,00","11,00","39,00","13,00","233,01","3 236,40","7,00","-632,74","3 003,39","3 869,14","7,00","4,00","4,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod",NA,NA
"Bezděkov","619,55","741,09","0,00","0,00","39,05","53,08","119,16","0,00","113,00","17,00","21,00","36,00","33,00","2,00","4,00","20,00","5,00","119,16","913,33","11,00","254,73","794,17","658,60","9,00","4,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Bezděkov nad Metují","5 201,81","3 604,11","511,00","270,30","8 224,87","971,96","867,16","0,00","486,00","91,00","72,00","158,00","141,00","12,00","12,00","101,00","18,00","1 378,16","6 224,53","19,00","-7 202,15","4 846,37","13 426,68","8,00","3,00","3,00","Královéhradecký kraj","NÁCHOD","Náchod",NA,NA
"Bezděkov pod Třemšínem","1 860,37","1 164,49","0,00","0,00","251,20","516,16","361,18","2,00","152,00","26,00","17,00","52,00","46,00","7,00","4,00","32,00","5,00","361,18","2 041,83","1,00","-69,74","1 680,65","2 111,57","0,00","1,00","2,00","Středočeský kraj","PŘÍBRAM","Příbram",NA,NA
"Bezděz","3 431,15","3 540,31","0,00","0,00","72,55","580,77","112,29","2,00","304,00","49,00","32,00","99,00","98,00","11,00","15,00","78,00","17,00","112,29","4 233,37","9,00","729,67","4 121,08","3 503,70","3,00","5,00","2,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA,NA
"Bezdružice","19 762,93","9 675,39","409,51","1 718,58","1 234,00","6 122,75","5 582,30","0,00","976,00","128,00","150,00","329,00","301,00","32,00","36,00","197,00","83,00","5 991,81","23 508,53","20,00","2 511,60","17 516,72","20 996,93","26,00","10,00","12,00","Plzeňský kraj","STŘÍBRO","Tachov",NA,NA
"Bezkov","1 956,08","2 033,38","0,00","0,55","0,00","57,22","560,82","1,00","219,00","45,00","41,00","66,00","59,00","4,00","4,00","40,00","11,00","560,82","2 651,97","1,00","695,89","2 091,15","1 956,08","4,00","4,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Bezměrov","3 960,27","4 518,50","0,00","350,00","1 798,04","150,42","292,90","1,00","566,00","82,00","86,00","190,00","174,00","18,00","16,00","103,00","49,00","292,90","5 311,82","11,00","-446,49","5 018,92","5 758,31","19,00","5,00","9,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA,NA
"Bezno","13 558,63","7 519,14","0,00","67,00","4 769,24","2 259,26","4 396,79","4,00","855,00","108,00","153,00","273,00","245,00","36,00","40,00","200,00","20,00","4 396,79","14 242,19","29,00","-4 085,68","9 845,40","18 327,87","39,00","9,00","13,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Bezuchov","2 209,82","1 625,81","586,89","0,00","1 039,56","567,21","1 181,90","0,00","193,00","37,00","29,00","58,00","56,00","7,00","6,00","38,00","5,00","1 768,79","3 961,81","4,00","712,43","2 193,02","3 249,38","2,00","2,00","5,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Bezvěrov","10 754,68","7 118,38","0,00","47,78","835,51","4 363,76","878,89","0,00","688,00","90,00","108,00","220,00","210,00","25,00","35,00","95,00","54,00","878,89","12 408,81","26,00","818,62","11 529,92","11 590,19","14,00","6,00","6,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA,NA
"Bílá","7 701,78","8 494,94","3 427,71","600,00","8 580,06","3 712,19","475,18","1,00","278,00","54,00","36,00","92,00","76,00","12,00","8,00","90,00","24,00","3 902,89","16 710,02","9,00","428,18","12 807,13","16 281,84","12,00","9,00","3,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek",NA,NA
"Bílá","7 045,69","7 695,50","100,00","20,45","793,92","766,62","412,18","7,00","842,00","96,00","136,00","274,00","267,00","36,00","33,00","215,00","32,00","512,18","8 994,75","26,00","1 155,14","8 482,57","7 839,61","34,00","3,00","16,00","Liberecký kraj","LIBEREC","Liberec",NA,NA
"Bílá Hlína","922,27","1 114,54","0,00","0,00","69,72","46,86","79,64","0,00","114,00","15,00","20,00","32,00","36,00","4,00","7,00","20,00","5,00","79,64","1 241,04","10,00","249,05","1 161,40","991,99","4,00","0,00","1,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA,NA
"Bílá Lhota","9 536,85","9 271,72","408,25","7,45","1 611,20","1 440,98","2 251,48","1,00","1 099,00","196,00","144,00","338,00","345,00","34,00","42,00","196,00","61,00","2 659,73","13 379,88","17,00","2 231,83","10 720,15","11 148,05","28,00","13,00","5,00","Olomoucký kraj","LITOVEL","Olomouc","1,00","8,00"
"Bílá Třemešná","11 907,53","10 195,18","2 200,00","0,00","651,05","3 902,53","2 021,70","1,00","1 347,00","223,00","207,00","415,00","399,00","50,00","53,00","259,00","57,00","4 221,70","18 319,41","46,00","5 760,83","14 097,71","12 558,58","33,00","15,00","10,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA,NA
"Bílá Voda","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA,NA
"Bílčice","4 922,19","3 315,30","0,00","12,92","581,80","1 297,70","406,61","0,00","238,00","42,00","34,00","74,00","66,00","10,00","12,00","29,00","21,00","406,61","5 032,53","3,00","-471,46","4 625,92","5 503,99","2,00","0,00","1,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,NA
"Bílé Podolí","4 730,70","5 673,33","0,00","0,00","1 114,31","613,38","491,84","1,00","616,00","106,00","77,00","192,00","187,00","34,00","20,00","121,00","27,00","491,84","6 778,55","22,00","933,54","6 286,71","5 845,01","13,00","1,00","4,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA
"Bílé Poličany","3 788,22","1 425,64","0,00","3,07","114,88","213,87","533,81","1,00","145,00","29,00","17,00","39,00","38,00","9,00","13,00","35,00","10,00","533,81","2 176,39","6,00","-1 726,71","1 642,58","3 903,10","2,00","2,00","0,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA,NA
"Bílence","2 271,12","2 892,87","616,93","5,64","1 022,23","261,36","554,99","1,00","245,00","24,00","38,00","83,00","78,00","11,00","11,00","37,00","34,00","1 171,92","4 331,79","8,00","1 038,44","3 159,87","3 293,35","7,00","6,00","2,00","Ústecký kraj","CHOMUTOV","Chomutov",NA,NA
"Bílichov","2 049,08","2 140,13","0,00","479,17","2 287,30","140,24","345,89","0,00","185,00","39,00","27,00","58,00","45,00","9,00","7,00","34,00","12,00","345,89","3 105,43","8,00","-1 230,95","2 759,54","4 336,38","1,00","2,00","1,00","Středočeský kraj","SLANÝ","Kladno",NA,NA
"Bílina","301 219,88","157 510,52","5 931,26","8 773,41","94 729,86","71 278,83","79 103,55","5,00","15 790,00","1 997,00","2 694,00","4 929,00","4 902,00","667,00","601,00","2 597,00","1 233,00","85 034,81","322 597,57","356,00","-73 352,17","237 562,76","395 949,74","470,00","172,00","173,00","Ústecký kraj","BÍLINA","Teplice","1,00","70,00"
"Bílov","6 868,20","4 437,10","5 369,20","731,01","8 573,98","5 257,63","1 453,20","4,00","581,00","83,00","91,00","188,00","180,00","19,00","20,00","97,00","74,00","6 822,40","17 248,14","30,00","1 805,96","10 425,74","15 442,18","18,00","3,00","6,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","1,00","8,00"
"Bílov","1 396,32","999,44","0,00","0,00","30,00","415,17","229,77","0,00","84,00","20,00","12,00","25,00","20,00","5,00","2,00","15,00","4,00","229,77","1 644,38","3,00","218,06","1 414,61","1 426,32","2,00","1,00","2,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA,NA
