"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Blízkov","335,00","53,00","61,00","102,00","100,00","8,00","11,00","6,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Blížkovice","1 238,00","149,00","209,00","413,00","405,00","32,00","30,00","63,00","Jihomoravský kraj","ZNOJMO","Znojmo","4,00"
"Blovice","4 037,00","628,00","610,00","1 274,00","1 258,00","142,00","125,00","64,00","Plzeňský kraj","BLOVICE","Plzeň-jih","3,00"
"Blšany","953,00","149,00","157,00","316,00","271,00","32,00","28,00","63,00","Ústecký kraj","PODBOŘANY","Louny","1,00"
"Blšany u Loun","236,00","35,00","31,00","80,00","78,00","6,00","6,00","11,00","Ústecký kraj","LOUNY","Louny","4,00"
"Blučina","2 082,00","319,00","311,00","685,00","659,00","57,00","51,00","58,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov","8,00"
"Bludov","27,00","4,00","1,00","13,00","8,00","1,00","0,00","0,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Bobnice","810,00","104,00","121,00","280,00","257,00","27,00","21,00","24,00","Středočeský kraj","NYMBURK","Nymburk","2,00"
"Bobrová","926,00","143,00","150,00","302,00","298,00","17,00","16,00","26,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou","4,00"
"Bobrůvka","228,00","49,00","29,00","77,00","62,00","5,00","6,00","20,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou",NA
"Bocanovice","433,00","54,00","74,00","134,00","148,00","13,00","10,00","15,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek","4,00"
"Bochoř","1 010,00","162,00","179,00","309,00","301,00","36,00","23,00","43,00","Olomoucký kraj","PŘEROV","Přerov",NA
"Bochov","2 031,00","237,00","368,00","682,00","619,00","63,00","62,00","141,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","14,00"
"Bochovice","144,00","25,00","16,00","54,00","41,00","4,00","4,00","5,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Boháňka","221,00","34,00","34,00","72,00","66,00","8,00","7,00","8,00","Královéhradecký kraj","HOŘICE","Jičín","1,00"
"Boharyně","540,00","63,00","87,00","167,00","183,00","19,00","21,00","12,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA
"Bohaté Málkovice","239,00","37,00","33,00","85,00","75,00","4,00","5,00","10,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA
"Bohatice","151,00","19,00","16,00","54,00","49,00","5,00","8,00","5,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA
"Bohdalec","299,00","47,00","48,00","98,00","88,00","9,00","9,00","8,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou",NA
"Bohdalice-Pavlovice","809,00","96,00","131,00","281,00","263,00","25,00","13,00","31,00","Jihomoravský kraj","VYŠKOV","Vyškov","2,00"
"Bohdalín","213,00","45,00","27,00","66,00","67,00","2,00","6,00","5,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Bohdalov","1 085,00","154,00","175,00","385,00","314,00","29,00","28,00","19,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou",NA
"Bohdalovice","305,00","34,00","53,00","109,00","98,00","5,00","6,00","18,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov","2,00"
"Bohdaneč","427,00","71,00","62,00","150,00","128,00","6,00","10,00","9,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora","5,00"
"Bohdašín","242,00","60,00","37,00","59,00","68,00","8,00","10,00","1,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou","1,00"
"Bohdíkov","1 431,00","193,00","240,00","472,00","443,00","43,00","40,00","62,00","Olomoucký kraj","ŠUMPERK","Šumperk","1,00"
"Bohostice","186,00","32,00","30,00","57,00","51,00","10,00","6,00","6,00","Středočeský kraj","PŘÍBRAM","Příbram","1,00"
"Bohumilice","317,00","55,00","60,00","97,00","92,00","8,00","5,00","2,00","Jihočeský kraj","VIMPERK","Prachatice","1,00"
"Bohumín","22 914,00","3 136,00","3 361,00","7 773,00","7 228,00","760,00","656,00","1 337,00","Moravskoslezský kraj","BOHUMÍN","Karviná","9,00"
"Bohunice","42,00","12,00","4,00","13,00","9,00","2,00","2,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Bohuňov","227,00","20,00","38,00","87,00","65,00","7,00","10,00","12,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou","3,00"
"Bohuňov","178,00","46,00","18,00","56,00","49,00","4,00","5,00","5,00","Pardubický kraj","SVITAVY","Svitavy","1,00"
"Bohuňovice","2 473,00","329,00","386,00","824,00","811,00","65,00","58,00","55,00","Olomoucký kraj","OLOMOUC","Olomouc","12,00"
"Bohuňovice","114,00","14,00","14,00","40,00","37,00","6,00","3,00","6,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Bohušice","117,00","22,00","14,00","38,00","34,00","3,00","6,00","10,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA
"Bohuslavice","471,00","66,00","65,00","164,00","159,00","10,00","7,00","20,00","Olomoucký kraj","KONICE","Prostějov",NA
"Bohuslavice","1 607,00","227,00","261,00","543,00","516,00","27,00","33,00","53,00","Moravskoslezský kraj","HLUČÍN","Opava","4,00"
"Bohuslavice","131,00","21,00","25,00","38,00","43,00","2,00","2,00","2,00","Vysočina","TELČ","Jihlava",NA
"Bohuslavice","473,00","62,00","76,00","155,00","147,00","20,00","13,00","21,00","Olomoucký kraj","ZÁBŘEH","Šumperk","1,00"
"Bohuslavice nad Vláří","400,00","72,00","50,00","132,00","130,00","9,00","7,00","18,00","Zlínský kraj","LUHAČOVICE","Zlín",NA
"Bohuslavice u Zlína","798,00","124,00","102,00","279,00","245,00","23,00","25,00","19,00","Zlínský kraj","ZLÍN","Zlín",NA
"Bohuslávky","327,00","67,00","44,00","90,00","97,00","19,00","10,00","20,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov",NA
"Bohušov","453,00","57,00","87,00","148,00","127,00","19,00","15,00","49,00","Moravskoslezský kraj","KRNOV","Bruntál",NA
"Bohušovice nad Ohří","2 567,00","305,00","409,00","824,00","869,00","88,00","72,00","81,00","Ústecký kraj","LITOMĚŘICE","Litoměřice",NA
"Bohutice","609,00","88,00","87,00","195,00","197,00","23,00","19,00","25,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo","2,00"
"Bohutín","1 590,00","191,00","241,00","530,00","530,00","41,00","57,00","62,00","Středočeský kraj","PŘÍBRAM","Příbram","3,00"
"Bohutín","809,00","94,00","105,00","280,00","277,00","24,00","29,00","38,00","Olomoucký kraj","ŠUMPERK","Šumperk",NA
"Bohy","92,00","21,00","13,00","22,00","24,00","7,00","5,00","1,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA
"Bojanov","652,00","137,00","77,00","197,00","193,00","24,00","24,00","17,00","Pardubický kraj","CHRUDIM","Chrudim","1,00"
"Bojanovice","427,00","65,00","64,00","143,00","125,00","11,00","19,00","8,00","Středočeský kraj","ČERNOŠICE","Praha-západ",NA
"Bojanovice","186,00","26,00","37,00","63,00","46,00","8,00","6,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Bojiště","233,00","38,00","37,00","81,00","64,00","5,00","8,00","8,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod","2,00"
"Bojkovice","4 662,00","747,00","655,00","1 528,00","1 434,00","154,00","144,00","168,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","5,00"
"Bolatice","4 272,00","555,00","622,00","1 473,00","1 437,00","94,00","91,00","186,00","Moravskoslezský kraj","KRAVAŘE","Opava","19,00"
"Boleboř","206,00","32,00","27,00","74,00","61,00","5,00","7,00","17,00","Ústecký kraj","CHOMUTOV","Chomutov","1,00"
"Bolehošť","567,00","87,00","80,00","185,00","168,00","21,00","26,00","6,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA
"Boleradice","881,00","145,00","144,00","278,00","266,00","24,00","24,00","43,00","Jihomoravský kraj","HUSTOPEČE","Břeclav","1,00"
"Bolešiny","698,00","65,00","118,00","244,00","226,00","21,00","24,00","19,00","Plzeňský kraj","KLATOVY","Klatovy",NA
"Boletice","248,00","16,00","50,00","94,00","81,00","6,00","1,00","16,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov",NA
"Bolkov","53,00","15,00","5,00","12,00","12,00","3,00","6,00","2,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih",NA
"Boňkov","49,00","11,00","6,00","16,00","10,00","3,00","3,00","0,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA
"Bor","4 183,00","434,00","683,00","1 489,00","1 367,00","111,00","99,00","165,00","Plzeňský kraj","TACHOV","Tachov","14,00"
"Bor u Skutče","178,00","29,00","27,00","55,00","55,00","7,00","5,00","7,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Borač","2","2","2","2","2","2","2","2","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou","2"
"Bořanovice","624,00","98,00","98,00","202,00","176,00","30,00","20,00","5,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","6,00"
"Bordovice","568,00","76,00","79,00","191,00","185,00","16,00","21,00","23,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín",NA
"Boreč","289,00","29,00","69,00","92,00","78,00","14,00","7,00","14,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA
"Borek","2","2","2","2","2","2","2","2","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník","2"
"Borek","240,00","26,00","39,00","82,00","77,00","6,00","10,00","5,00","Pardubický kraj","PARDUBICE","Pardubice","1,00"
"Borek","95,00","15,00","23,00","24,00","30,00","1,00","2,00","9,00","Královéhradecký kraj","HOŘICE","Jičín",NA
"Borek","134,00","34,00","17,00","40,00","37,00","4,00","2,00","1,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod",NA
"Borek","1 274,00","159,00","194,00","401,00","408,00","68,00","44,00","19,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","8,00"
"Bořenovice","174,00","35,00","27,00","54,00","44,00","6,00","8,00","4,00","Zlínský kraj","HOLEŠOV","Kroměříž",NA
"Bořetice","1 341,00","189,00","207,00","452,00","428,00","32,00","33,00","55,00","Jihomoravský kraj","HUSTOPEČE","Břeclav","1,00"
"Bořetice","70,00","17,00","9,00","23,00","15,00","3,00","3,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Bořetín","103,00","17,00","25,00","27,00","29,00","2,00","3,00","5,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA
"Bořetín","107,00","23,00","16,00","33,00","30,00","2,00","3,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov","1,00"
"Bořice","161,00","31,00","25,00","52,00","39,00","7,00","7,00","7,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Bořislav","355,00","53,00","45,00","124,00","107,00","10,00","16,00","17,00","Ústecký kraj","TEPLICE","Teplice","1,00"
"Bořitov","1 256,00","177,00","172,00","427,00","400,00","45,00","35,00","35,00","Jihomoravský kraj","BLANSKO","Blansko","9,00"
"Borkovany","754,00","128,00","106,00","265,00","209,00","26,00","20,00","33,00","Jihomoravský kraj","HUSTOPEČE","Břeclav",NA
"Borkovice","231,00","32,00","32,00","79,00","71,00","8,00","9,00","4,00","Jihočeský kraj","SOBĚSLAV","Tábor",NA
"Borohrádek","2 131,00","401,00","302,00","668,00","635,00","65,00","60,00","28,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou","2,00"
"Borotice","297,00","38,00","44,00","99,00","81,00","15,00","20,00","9,00","Středočeský kraj","DOBŘÍŠ","Příbram","2,00"
"Borotice","399,00","35,00","71,00","144,00","127,00","8,00","14,00","30,00","Jihomoravský kraj","ZNOJMO","Znojmo","6,00"
"Borotín","533,00","92,00","81,00","174,00","150,00","18,00","18,00","17,00","Jihočeský kraj","TÁBOR","Tábor","5,00"
"Borotín","424,00","62,00","73,00","126,00","120,00","22,00","21,00","16,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA
"Borová","191,00","36,00","19,00","65,00","64,00","5,00","2,00","6,00","Královéhradecký kraj","NÁCHOD","Náchod","2,00"
"Borová","964,00","135,00","166,00","306,00","319,00","24,00","14,00","25,00","Pardubický kraj","POLIČKA","Svitavy","20,00"
"Borová Lada","280,00","30,00","38,00","104,00","93,00","6,00","9,00","13,00","Jihočeský kraj","VIMPERK","Prachatice","9,00"
"Borovany","218,00","42,00","27,00","72,00","66,00","7,00","4,00","7,00","Jihočeský kraj","MILEVSKO","Písek","1,00"
"Borovany","3 890,00","476,00","595,00","1 288,00","1 334,00","101,00","96,00","64,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice","53,00"
"Borovná","84,00","21,00","13,00","27,00","16,00","5,00","2,00","1,00","Vysočina","TELČ","Jihlava",NA
"Borovnice","175,00","43,00","19,00","52,00","51,00","8,00","2,00","6,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou",NA
"Borovnice","82,00","15,00","9,00","24,00","17,00","9,00","8,00","2,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Borovnice","365,00","56,00","49,00","123,00","120,00","8,00","9,00","3,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA
"Borovnice","435,00","64,00","61,00","148,00","136,00","10,00","16,00","12,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA
"Borovnice","109,00","15,00","9,00","43,00","36,00","3,00","3,00","3,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","1,00"
"Borovnička","189,00","29,00","25,00","63,00","56,00","10,00","6,00","10,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA
"Borovník","2","2","2","2","2","2","2","2","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Borovno","94,00","21,00","10,00","30,00","23,00","8,00","2,00","2,00","Plzeňský kraj","BLOVICE","Plzeň-jih",NA
"Borovy","2","2","2","2","2","2","2","2","Plzeňský kraj","PŘEŠTICE","Klatovy",NA
"Boršice","2 253,00","364,00","318,00","738,00","706,00","68,00","59,00","66,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","2,00"
"Boršice u Blatnice","893,00","127,00","136,00","295,00","280,00","27,00","28,00","26,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","2,00"
"Boršov","132,00","22,00","26,00","40,00","36,00","7,00","1,00","3,00","Vysočina","JIHLAVA","Jihlava",NA
"Boršov nad Vltavou","1 480,00","153,00","275,00","497,00","491,00","33,00","31,00","20,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","17,00"
"Borušov","167,00","22,00","28,00","58,00","53,00","3,00","3,00","20,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA
"Bory","788,00","114,00","137,00","266,00","230,00","30,00","11,00","25,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou","1,00"
"Boseň","419,00","50,00","67,00","154,00","122,00","12,00","14,00","9,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav","5,00"
"Bošice","283,00","46,00","30,00","98,00","92,00","7,00","10,00","7,00","Jihočeský kraj","VIMPERK","Prachatice","3,00"
"Bošilec","206,00","36,00","34,00","60,00","63,00","3,00","10,00","3,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA
"Bošín","85,00","8,00","15,00","26,00","32,00","1,00","3,00","6,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA
"Boskovice","10 928,00","1 673,00","1 484,00","3 506,00","3 495,00","394,00","376,00","369,00","Jihomoravský kraj","BOSKOVICE","Blansko","38,00"
"Boskovštejn","150,00","29,00","26,00","45,00","43,00","4,00","3,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Bošovice","1 079,00","160,00","152,00","362,00","354,00","22,00","29,00","28,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov","4,00"
"Boudy","180,00","31,00","17,00","67,00","53,00","6,00","6,00","8,00","Jihočeský kraj","PÍSEK","Písek",NA
"Bousín","122,00","28,00","17,00","40,00","35,00","1,00","1,00","2,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA
"Bousov","211,00","35,00","23,00","77,00","66,00","5,00","5,00","4,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Bouzov","1 503,00","241,00","209,00","504,00","453,00","51,00","45,00","60,00","Olomoucký kraj","LITOVEL","Olomouc","1,00"
"Božanov","353,00","30,00","62,00","126,00","116,00","8,00","11,00","19,00","Královéhradecký kraj","BROUMOV","Náchod",NA
"Božejov","677,00","91,00","89,00","252,00","206,00","17,00","22,00","10,00","Vysočina","PELHŘIMOV","Pelhřimov","2,00"
"Božetice","380,00","57,00","63,00","126,00","111,00","12,00","11,00","8,00","Jihočeský kraj","MILEVSKO","Písek","1,00"
"Boží Dar","187,00","22,00","30,00","64,00","61,00","4,00","6,00","4,00","Karlovarský kraj","OSTROV","Karlovy Vary","3,00"
"Božičany","615,00","59,00","110,00","211,00","196,00","20,00","19,00","16,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","1,00"
"Božice","1 506,00","201,00","288,00","478,00","460,00","33,00","46,00","97,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Bozkov","578,00","87,00","91,00","189,00","170,00","20,00","21,00","20,00","Liberecký kraj","SEMILY","Semily","1,00"
"Brada-Rybníček","110,00","8,00","15,00","40,00","43,00","2,00","2,00","5,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Bradáčov","62,00","24,00","3,00","12,00","15,00","5,00","3,00","0,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Bradlec","923,00","61,00","171,00","350,00","304,00","17,00","20,00","3,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","16,00"
"Bradlecká Lhota","220,00","36,00","22,00","76,00","71,00","9,00","6,00","11,00","Liberecký kraj","SEMILY","Semily","4,00"
"Brambory","103,00","19,00","15,00","32,00","26,00","6,00","5,00","5,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA
"Braňany","1 188,00","143,00","219,00","419,00","349,00","29,00","29,00","88,00","Ústecký kraj","MOST","Most",NA
"Brandov","226,00","20,00","23,00","75,00","81,00","10,00","17,00","28,00","Ústecký kraj","LITVÍNOV","Most",NA
"Brandýs nad Labem-Stará Boleslav","16 214,00","2 228,00","2 149,00","5 358,00","5 355,00","578,00","546,00","145,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","32,00"
"Brandýs nad Orlicí","1 414,00","236,00","196,00","462,00","419,00","54,00","47,00","43,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí",NA
"Brandýsek","1 738,00","258,00","261,00","584,00","524,00","59,00","52,00","57,00","Středočeský kraj","KLADNO","Kladno","3,00"
"Branice","305,00","56,00","49,00","92,00","82,00","20,00","6,00","20,00","Jihočeský kraj","MILEVSKO","Písek",NA
"Braníškov","181,00","30,00","22,00","56,00","56,00","9,00","8,00","4,00","Jihomoravský kraj","TIŠNOV","Brno-venkov",NA
"Branišov","222,00","19,00","37,00","77,00","78,00","6,00","5,00","4,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","3,00"
"Branka u Opavy","1 075,00","119,00","178,00","370,00","346,00","29,00","33,00","32,00","Moravskoslezský kraj","OPAVA","Opava",NA
"Brankovice","872,00","101,00","127,00","292,00","301,00","27,00","24,00","32,00","Jihomoravský kraj","BUČOVICE","Vyškov","1,00"
"Branky","890,00","115,00","165,00","283,00","273,00","33,00","21,00","51,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín","5,00"
"Branná","296,00","30,00","41,00","121,00","83,00","13,00","8,00","30,00","Olomoucký kraj","ŠUMPERK","Šumperk","1,00"
"Branov","201,00","36,00","23,00","60,00","62,00","9,00","11,00","6,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA
"Bransouze","252,00","39,00","42,00","81,00","71,00","8,00","11,00","3,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Brantice","1 290,00","140,00","211,00","438,00","418,00","43,00","40,00","60,00","Moravskoslezský kraj","KRNOV","Bruntál","6,00"
"Branžež","212,00","37,00","35,00","67,00","61,00","7,00","5,00","3,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA
"Braškov","976,00","139,00","146,00","302,00","308,00","46,00","35,00","21,00","Středočeský kraj","KLADNO","Kladno","3,00"
"Břasy","2 104,00","363,00","255,00","690,00","624,00","79,00","93,00","53,00","Plzeňský kraj","ROKYCANY","Rokycany","1,00"
"Bratčice","708,00","111,00","99,00","263,00","200,00","23,00","12,00","23,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov",NA
