"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Vidice","184,00","19,00","25,00","66,00","64,00","5,00","5,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Vidim","177,00","52,00","21,00","56,00","40,00","3,00","5,00","Středočeský kraj","MĚLNÍK","Mělník"
"Vidlatá Seč","284,00","40,00","42,00","107,00","82,00","8,00","5,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Vidnava","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Vidochov","353,00","54,00","46,00","134,00","99,00","12,00","8,00","Královéhradecký kraj","NOVÁ PAKA","Jičín"
"Vidonín","165,00","30,00","25,00","56,00","52,00","1,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Vidov","337,00","19,00","53,00","125,00","119,00","8,00","13,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Vigantice","942,00","132,00","137,00","321,00","304,00","27,00","21,00","Zlínský kraj","ROŽNOV POD RADHOŠTĚM","Vsetín"
"Vikantice","90,00","12,00","7,00","35,00","29,00","4,00","3,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Vikýřovice","2 113,00","247,00","337,00","724,00","697,00","61,00","47,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Vílanec","293,00","33,00","52,00","106,00","93,00","4,00","5,00","Vysočina","JIHLAVA","Jihlava"
"Vilantice","192,00","41,00","30,00","58,00","50,00","10,00","3,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Vilémov","985,00","116,00","131,00","332,00","344,00","34,00","28,00","Ústecký kraj","RUMBURK","Děčín"
"Vilémov","996,00","200,00","134,00","311,00","266,00","41,00","44,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Vilémov","563,00","67,00","76,00","192,00","195,00","15,00","18,00","Ústecký kraj","KADAŇ","Chomutov"
"Vilémov","469,00","82,00","69,00","153,00","145,00","11,00","9,00","Olomoucký kraj","LITOVEL","Olomouc"
"Vilémovice","276,00","65,00","33,00","85,00","78,00","9,00","6,00","Jihomoravský kraj","BLANSKO","Blansko"
"Vilémovice","209,00","32,00","22,00","81,00","65,00","6,00","3,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Vilice","173,00","28,00","13,00","68,00","52,00","7,00","5,00","Jihočeský kraj","TÁBOR","Tábor"
"Vimperk","7 887,00","982,00","1 194,00","2 656,00","2 631,00","227,00","197,00","Jihočeský kraj","VIMPERK","Prachatice"
"Vinaře","250,00","60,00","35,00","67,00","70,00","10,00","8,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Vinařice","220,00","48,00","23,00","72,00","57,00","10,00","10,00","Ústecký kraj","LOUNY","Louny"
"Vinařice","88,00","22,00","12,00","26,00","24,00","2,00","2,00","Středočeský kraj","BEROUN","Beroun"
