"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Volanice","2 370,83","621,27","3 566,39","3 000,00","411,60","3 812,44","363,76","85,00","1,00",NA,"221,00","40,00","26,00","58,00","75,00","10,00","12,00","0,00","0,00","0,00","1,00","1,00","0,00","1,00","0,00","33,00","2,00","2,00","2,00","8,00","0,00","2,00","10,00","2,00","0,00","1,00","0,00","0,00","7,00","7,00","9,00","2,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","46,00",NA,NA,"5,00","3 085,00","7 426,75","7,00","1 243,48","4 341,75","6 183,27","0,00","1,72","528,84","34,51","2,51","20,33","0,00","5,48","13,71","14,16","565,39","12,00","5,00","2,00","Královéhradecký kraj","JIČÍN","Jičín"
"Volárna","3 061,47","405,82","5 434,31","35 933,37","632,85","39 322,19","191,35","180,94","2,00",NA,"505,00","85,00","73,00","153,00","149,00","14,00","31,00","1,00","0,00","0,00","1,00","6,00","1,00","4,00","2,00","54,00","7,00","3,00","11,00","22,00","0,00","3,00","15,00","1,00","0,00","2,00","1,00","0,00","4,00","12,00","37,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","96,00",NA,NA,"28,00","36 114,32","42 372,83","15,00","-10,83","6 258,51","42 383,66","0,00","0,00","352,51","23,53","0,63","2,19","0,00","6,75","10,88","9,33","366,20","13,00","1,00","6,00","Středočeský kraj","KOLÍN","Kolín"
"Volary","52 198,85","10 752,07","59 435,77","303,60","715,20","7 076,72","19 964,48","4 206,52","2,00",NA,"3 810,00","619,00","622,00","1 118,00","1 180,00","122,00","149,00","3,00","0,00","0,00","32,00","18,00","1,00","25,00","50,00","571,00","63,00","32,00","46,00","109,00","0,00","80,00","146,00","2,00","6,00","11,00","3,00","10,00","202,00","75,00","257,00","65,00","11,00","0,00","0,00","8,00","0,00","0,00","2,00","0,00","914,00",NA,"6,00","165,00","4 510,12","84 625,57","87,00","25 350,00","80 115,45","59 275,57","0,00","6 875,82","61,61","1 181,20","0,00","2 439,75","0,00","129,81","11,50","52,40","2 512,85","100,00","30,00","44,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Volduchy","11 253,70","1 258,62","15 709,94","0,00","915,00","743,51","946,33","257,20","4,00",NA,"1 169,00","208,00","213,00","333,00","323,00","44,00","48,00","5,00","0,00","0,00","3,00","14,00","3,00","6,00","10,00","142,00","24,00","15,00","28,00","37,00","0,00","10,00","53,00","2,00","9,00","2,00","0,00","0,00","14,00","49,00","125,00","13,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00","284,00",NA,"2,00","20,00","257,20","17 828,46","24,00","5 831,26","17 571,26","11 997,21","0,00","372,33","675,49","71,55","0,32","69,50","0,00","16,04","25,57","27,81","770,88","11,00","16,00","17,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Voleč","2 049,06","478,17","4 038,97","499,50","20,54","1 639,17","213,92","218,84","2,00",NA,"345,00","76,00","48,00","100,00","95,00","12,00","14,00","0,00","0,00","0,00","2,00","2,00","1,00","0,00","5,00","35,00","6,00","3,00","3,00","12,00","0,00","6,00","14,00","2,00","1,00","0,00","0,00","0,00","3,00","11,00","27,00","7,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","71,00",NA,NA,"6,00","718,34","4 991,77","6,00","1 303,54","4 273,43","3 688,23","0,00","11,38","344,81","45,28","1,27","36,96","0,00","13,95","13,82","10,71","396,85","9,00","3,00","0,00","Pardubický kraj","PARDUBICE","Pardubice"
"Volenice","2 731,96","1 041,96","4 991,44","0,00","0,00","2 089,49","596,65","102,10","0,00",NA,"401,00","77,00","51,00","116,00","137,00","9,00","11,00","4,00","0,00","0,00","1,00","4,00","2,00","1,00","2,00","58,00","2,00","1,00","6,00","18,00","0,00","5,00","23,00","3,00","0,00","1,00","0,00","1,00","17,00","6,00","33,00","5,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","97,00",NA,NA,"14,00","102,10","5 690,19","12,00","868,75","5 588,09","4 821,44","0,00","79,04","623,47","49,27","1,78","219,73","0,00","39,20","16,37","13,10","861,35","12,00","4,00","4,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Volenice","7 230,22","1 595,38","8 527,65","0,00","50,55","1 333,68","722,66","688,73","0,00",NA,"548,00","104,00","86,00","160,00","159,00","17,00","22,00","2,00","0,00","0,00","7,00","0,00","0,00","4,00","3,00","60,00","8,00","3,00","9,00","16,00","0,00","7,00","21,00","3,00","2,00","2,00","0,00","0,00","17,00","7,00","44,00","6,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","111,00",NA,"1,00","21,00","688,73","9 989,59","16,00","1 425,69","9 300,86","8 563,90","0,00","418,49","615,34","95,01","21,42","393,83","0,00","10,78","22,72","17,79","1 053,32","9,00","6,00","5,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Volevčice","3 660,59","513,13","5 001,19","0,00","4,22","2 017,05","112,23","83,00","0,00",NA,"101,00","16,00","15,00","29,00","29,00","5,00","7,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,00","1,00","1,00","3,00","3,00","0,00","1,00","7,00","1,00","1,00","0,00","0,00","0,00","6,00","1,00","9,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,00",NA,NA,"3,00","83,00","5 200,64","4,00","-476,99","5 117,64","5 677,64","0,00","22,45","343,97","119,12","0,00","4,00","0,00","3,02","1,61","18,97","349,58","5,00","2,00","1,00","Ústecký kraj","MOST","Most"
"Volevčice","1 276,97","331,84","798,33","0,00","0,00","86,85","58,30","197,60","0,00",NA,"67,00","12,00","11,00","22,00","18,00","1,00","3,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","9,00","2,00","0,00","1,00","0,00","0,00","0,00","2,00","2,00","0,00","0,00","0,00","0,00","1,00","3,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","14,00",NA,NA,"3,00","197,60","1 054,23","6,00","-309,59","856,63","1 363,82","0,00","43,86","198,59","20,95","0,00","54,90","0,00","6,19","4,45","2,90","257,94","0,00","0,00","3,00","Vysočina","TELČ","Jihlava"
"Volfartice","10 032,09","1 308,94","21 171,71","199,88","547,57","1 939,94","1 127,20","1 009,50","1,00",NA,"678,00","99,00","126,00","215,00","196,00","20,00","22,00","0,00","0,00","0,00","2,00","3,00","1,00","2,00","9,00","83,00","11,00","5,00","7,00","25,00","0,00","3,00","22,00","1,00","4,00","4,00","2,00","1,00","21,00","24,00","52,00","9,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","147,00",NA,NA,"21,00","1 209,38","24 055,86","35,00","12 083,83","22 846,48","11 972,03","0,00","404,99","125,11","118,63","0,84","593,60","0,00","10,21","43,25","12,30","762,80","26,00","10,00","4,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Volfířov","9 008,56","3 282,24","10 427,45","0,00","77,14","968,64","1 239,55","786,31","4,00",NA,"718,00","112,00","127,00","206,00","231,00","22,00","20,00","1,00","0,00","0,00","2,00","1,00","1,00","2,00","3,00","70,00","5,00","9,00","16,00","22,00","0,00","9,00","18,00","6,00","2,00","2,00","0,00","0,00","24,00","19,00","60,00","11,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","142,00",NA,"1,00","24,00","786,31","12 530,45","16,00","2 553,25","11 744,14","9 977,20","0,00","1 090,29","1 426,62","188,67","2,00","420,75","0,00","85,92","41,92","26,07","1 891,29","25,00","9,00","11,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Volyně","57 099,74","2 058,03","40 498,47","1 311,89","131,24","9 193,19","25 806,41","6 314,56","3,00","394,00","3 033,00","592,00","475,00","827,00","869,00","131,00","139,00","9,00","0,00","0,00","36,00","19,00","7,00","16,00","39,00","424,00","64,00","30,00","73,00","98,00","1,00","43,00","154,00","3,00","7,00","15,00","2,00","14,00","39,00","67,00","248,00","48,00","7,00","1,00","0,00","3,00","1,00","0,00","4,00","0,00","736,00","96,00","5,00","92,00","7 626,45","74 062,57","64,00","7 769,64","66 436,12","66 292,93","0,00","591,76","518,39","237,89","8,06","555,70","0,00","28,59","72,34","45,29","1 154,49","98,00","34,00","27,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Vonoklasy","5 146,56","302,17","5 556,97","0,00","0,00","147,42","1 366,24","88,99","2,00",NA,"528,00","75,00","105,00","160,00","154,00","16,00","18,00","3,00","0,00","0,00","4,00","9,00","4,00","3,00","1,00","91,00","16,00","2,00","25,00","28,00","0,00","7,00","46,00","2,00","3,00","4,00","4,00","1,00","7,00","11,00","75,00","13,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","180,00",NA,NA,"11,00","88,99","7 012,21","16,00","1 718,23","6 923,22","5 293,97","0,00","66,18","146,93","21,16","9,56","24,08","0,00","1,47","26,66","6,13","207,23","12,00","4,00","4,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Vortová","4 944,96","1 215,71","3 261,56","0,00","18,90","0,00","172,65","846,33","0,00",NA,"243,00","52,00","29,00","77,00","66,00","8,00","11,00","0,00","0,00","0,00","0,00","3,00","0,00","3,00","0,00","25,00","3,00","3,00","6,00","9,00","0,00","3,00","4,00","2,00","0,00","0,00","0,00","0,00","6,00","12,00","22,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","54,00",NA,NA,"9,00","846,33","4 299,44","4,00","-645,52","3 453,11","4 944,96","0,00","880,22","152,56","44,14","0,00","116,24","0,00","13,51","3,90","5,13","272,71","8,00","3,00","2,00","Pardubický kraj","HLINSKO","Chrudim"
"Votice","101 202,78","3 642,17","78 953,58","1 658,56","176,50","13 657,81","37 606,50","16 902,95","5,00",NA,"4 579,00","960,00","758,00","1 273,00","1 284,00","141,00","163,00","10,00","0,00","0,00","21,00","23,00","14,00","17,00","35,00","562,00","93,00","34,00","81,00","175,00","0,00","48,00","249,00","7,00","6,00","10,00","7,00","16,00","82,00","94,00","379,00","67,00","8,00","0,00","0,00","4,00","0,00","0,00","2,00","0,00","1 022,00",NA,"1,00","61,00","18 561,51","135 298,09","115,00","20 437,50","116 736,58","114 860,59","0,00","700,64","1 440,78","346,67","90,22","841,89","0,00","46,22","103,37","72,38","2 476,25","94,00","63,00","47,00","Středočeský kraj","VOTICE","Benešov"
"Voznice","7 898,81","1 432,22","7 892,39","0,00","213,60","8 389,27","1 954,44","201,56","1,00",NA,"603,00","116,00","85,00","172,00","187,00","20,00","23,00","2,00","0,00","0,00","2,00","2,00","9,00","2,00","1,00","104,00","18,00","1,00","40,00","33,00","0,00","12,00","35,00","2,00","0,00","3,00","1,00","0,00","7,00","22,00","74,00","11,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","192,00",NA,NA,"24,00","201,56","10 261,99","20,00","-6 026,10","10 060,43","16 288,08","0,00","1 257,79","20,70","38,98","2,24","63,39","0,00","7,03","33,45","8,64","119,78","15,00","5,00","11,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Vrábče","6 417,56","1 572,94","8 270,86","366,00","3,25","690,80","902,56","661,70","8,00",NA,"757,00","100,00","136,00","242,00","231,00","21,00","27,00","1,00","0,00","0,00","5,00","6,00","6,00","1,00","4,00","110,00","14,00","9,00","27,00","24,00","1,00","13,00","36,00","4,00","4,00","3,00","0,00","1,00","16,00","23,00","76,00","11,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","198,00",NA,NA,"18,00","1 027,70","10 204,37","33,00","3 096,00","9 176,67","7 108,37","0,00","764,77","435,33","65,28","0,18","241,77","0,00","25,16","27,31","13,14","704,59","15,00","8,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Vraclav","11 294,02","1 389,13","10 440,99","100,00","2 545,49","2 720,43","3 787,89","1 093,75","1,00",NA,"761,00","140,00","125,00","202,00","237,00","27,00","30,00","1,00","0,00","0,00","2,00","3,00","1,00","5,00","8,00","98,00","14,00","9,00","17,00","15,00","0,00","8,00","32,00","3,00","2,00","2,00","0,00","1,00","9,00","28,00","48,00","11,00","1,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","160,00",NA,NA,"22,00","1 193,75","17 968,11","6,00","3 953,67","16 774,37","14 014,45","0,00","180,99","963,80","80,31","6,26","101,35","0,00","4,63","32,69","19,10","1 104,10","17,00","11,00","6,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Vracov","43 706,16","4 440,42","59 637,01","155,10","346,65","11 819,96","4 759,02","3 387,06","8,00","74,00","4 524,00","825,00","678,00","1 325,00","1 364,00","171,00","161,00","8,00","0,00","0,00","13,00","26,00","7,00","22,00","41,00","560,00","94,00","38,00","69,00","184,00","1,00","44,00","225,00","2,00","9,00","13,00","3,00","10,00","65,00","167,00","385,00","76,00","9,00","0,00","0,00","9,00","0,00","0,00","2,00","0,00","1 041,00","23,00","3,00","210,00","3 542,16","68 284,84","54,00","12 758,72","64 742,68","55 526,12","0,00","2 811,10","1 091,02","193,43","1,48","18,08","121,21","58,05","61,36","84,70","1 293,15","92,00","38,00","47,00","Jihomoravský kraj","KYJOV","Hodonín"
"Vracovice","3 155,51","604,48","2 561,50","0,00","42,00","810,18","351,40","524,70","0,00",NA,"194,00","28,00","32,00","71,00","49,00","7,00","7,00","1,00","0,00","0,00","0,00","2,00","0,00","0,00","0,00","17,00","2,00","1,00","1,00","4,00","0,00","1,00","4,00","2,00","1,00","0,00","0,00","0,00","1,00","2,00","4,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","22,00",NA,NA,"17,00","524,70","3 479,60","3,00","-486,09","2 954,90","3 965,69","0,00","64,89","483,59","23,91","0,00","9,83","0,00","8,98","6,45","6,84","499,87","10,00","2,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vracovice","6 411,13","1 093,04","4 250,00","0,00","6,41","118,44","333,02","518,55","0,00",NA,"388,00","62,00","62,00","108,00","135,00","9,00","12,00","1,00","0,00","0,00","3,00","3,00","0,00","1,00","1,00","43,00","4,00","3,00","4,00","12,00","0,00","6,00","13,00","3,00","0,00","0,00","0,00","0,00","15,00","7,00","31,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","76,00",NA,NA,"8,00","518,55","5 107,97","20,00","-1 421,60","4 589,43","6 529,57","0,00","401,94","534,84","50,74","2,68","64,38","0,00","9,39","18,86","10,23","620,75","9,00","2,00","5,00","Středočeský kraj","VLAŠIM","Benešov"
"Vračovice-Orlov","1 167,08","291,44","2 084,42","0,00","11,76","0,00","176,83","86,90","0,00",NA,"181,00","34,00","26,00","43,00","66,00","7,00","5,00","0,00","0,00","0,00","0,00","1,00","1,00","2,00","1,00","28,00","1,00","3,00","3,00","10,00","0,00","3,00","16,00","2,00","1,00","0,00","0,00","0,00","0,00","4,00","12,00","5,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","48,00",NA,NA,"7,00","86,90","2 359,91","5,00","1 192,83","2 273,01","1 167,08","0,00","38,18","188,78","13,22","0,00","27,50","0,00","6,64","13,58","3,54","229,86","6,00","2,00","0,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Vraňany","7 219,09","970,13","10 666,59","0,00","56,51","2 454,36","434,66","549,61","2,00",NA,"904,00","143,00","160,00","257,00","289,00","26,00","29,00","2,00","0,00","0,00","6,00","6,00","3,00","3,00","3,00","95,00","15,00","4,00","7,00","26,00","0,00","13,00","36,00","1,00","5,00","5,00","2,00","1,00","12,00","25,00","68,00","11,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","175,00",NA,NA,"61,00","549,61","11 707,37","37,00","2 033,93","11 157,76","9 673,44","18,75","24,73","722,38","112,36","12,57","17,22","0,07","23,76","17,70","20,60","788,69","14,00","9,00","9,00","Středočeský kraj","MĚLNÍK","Mělník"
"Vrančice","2 085,76","886,16","2 446,68","0,00","60,80","174,22","1 636,86","175,15","1,00",NA,"145,00","22,00","14,00","47,00","51,00","4,00","7,00","0,00","0,00","0,00","1,00","3,00","1,00","0,00","2,00","20,00","6,00","1,00","3,00","5,00","0,00","2,00","3,00","2,00","0,00","0,00","0,00","0,00","6,00","4,00","18,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39,00",NA,NA,"10,00","175,15","4 319,50","2,00","2 059,52","4 144,34","2 259,98","0,00","173,84","535,08","59,20","4,22","93,49","0,00","4,49","8,97","6,86","641,76","4,00","3,00","1,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vrané nad Vltavou","37 328,85","425,54","32 775,11","5 600,00","1 088,50","2 046,89","5 225,36","992,44","6,00",NA,"2 566,00","426,00","504,00","745,00","728,00","83,00","80,00","16,00","0,00","0,00","54,00","29,00","17,00","14,00","24,00","420,00","59,00","15,00","109,00","76,00","1,00","36,00","157,00","2,00","4,00","11,00","6,00","8,00","11,00","97,00","280,00","37,00","3,00","0,00","0,00","4,00","0,00","0,00","2,00","0,00","746,00",NA,"2,00","64,00","6 592,44","45 681,42","112,00","6 305,67","39 088,98","39 375,74","0,00","100,46","85,97","65,34","3,06","11,08","0,00","83,32","53,71","22,60","153,82","68,00","20,00","20,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Vranov","1 441,16","483,21","2 224,36","480,00","16,80","80,74","163,11","77,00","0,00",NA,"166,00","27,00","24,00","45,00","55,00","7,00","8,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","22,00","0,00","1,00","0,00","8,00","0,00","6,00","6,00","1,00","1,00","0,00","0,00","0,00","2,00","8,00","13,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","35,00",NA,"1,00","8,00","557,00","2 961,26","3,00","1 439,36","2 404,26","1 521,90","0,00","131,19","201,19","42,03","0,00","83,89","0,00","12,94","6,67","5,30","291,75","4,00","1,00","2,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Vranov","7 074,66","1 241,65","9 579,73","3 458,90","20,00","660,34","616,24","344,85","4,00","89,00","767,00","130,00","139,00","219,00","222,00","34,00","23,00","4,00","0,00","0,00","0,00","6,00","8,00","8,00","1,00","130,00","19,00","6,00","51,00","21,00","0,00","14,00","41,00","3,00","4,00","6,00","1,00","1,00","12,00","20,00","76,00","18,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","226,00","42,00","3,00","25,00","3 803,75","14 019,72","42,00","6 284,73","10 215,97","7 734,99","0,00","1 098,80","24,98","34,90","6,12","40,34","0,00","3,15","24,19","9,16","95,63","20,00","6,00","12,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Vranov nad Dyjí","15 457,40","1 346,55","12 062,64","402,39","25,95","3 957,25","3 050,83","2 956,68","2,00","727,00","819,00","174,00","108,00","220,00","252,00","34,00","31,00","0,00","0,00","0,00","13,00","1,00","1,00","1,00","5,00","141,00","24,00","3,00","13,00","33,00","0,00","50,00","30,00","3,00","0,00","3,00","2,00","2,00","19,00","48,00","92,00","15,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","251,00","261,00","16,00","59,00","3 359,07","18 498,49","14,00","-916,16","15 139,43","19 414,65","0,00","877,72","120,31","78,78","0,68","64,25","1,15","162,15","23,37","18,14","209,76","15,00","8,00","8,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vranová","3 734,36","389,97","3 833,97","200,00","0,00","946,90","213,36","182,88","2,00",NA,"360,00","61,00","58,00","117,00","107,00","7,00","10,00","0,00","0,00","0,00","3,00","0,00","1,00","2,00","3,00","33,00","3,00","0,00","8,00","10,00","0,00","5,00","17,00","2,00","2,00","1,00","0,00","0,00","5,00","8,00","34,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","70,00",NA,"2,00","5,00","382,88","4 430,21","13,00","-251,05","4 047,33","4 681,27","0,00","92,76","186,10","36,52","2,49","44,03","0,00","10,95","11,85","5,26","244,48","5,00","3,00","2,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Vranová Lhota","5 634,68","1 407,27","5 711,31","0,00","0,00","40,50","202,55","862,95","0,00",NA,"449,00","76,00","65,00","138,00","141,00","18,00","11,00","0,00","0,00","0,00","2,00","0,00","0,00","2,00","5,00","46,00","5,00","0,00","4,00","12,00","0,00","9,00","11,00","3,00","0,00","1,00","0,00","0,00","20,00","10,00","33,00","4,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","84,00",NA,NA,"33,00","862,95","6 776,80","14,00","1 101,62","5 913,86","5 675,18","0,00","881,39","177,19","67,81","1,36","238,51","0,00","9,72","21,81","9,48","438,88","9,00","3,00","7,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Vranovice","4 108,08","1 386,67","4 030,25","677,14","63,40","1 195,67","436,65","657,86","0,00",NA,"307,00","42,00","61,00","96,00","97,00","5,00","6,00","4,00","0,00","0,00","1,00","3,00","0,00","0,00","1,00","35,00","3,00","5,00","1,00","22,00","0,00","0,00","16,00","2,00","1,00","1,00","0,00","0,00","4,00","6,00","33,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","70,00",NA,NA,"11,00","1 335,00","5 865,30","6,00","561,55","4 530,30","5 303,75","0,00","804,63","300,73","59,16","0,48","183,28","0,00","16,98","12,98","8,44","497,46","12,00","0,00","3,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vranovice","23 086,07","1 382,51","26 494,35","729,26","890,49","20 898,08","4 278,10","978,44","15,00",NA,"2 315,00","393,00","399,00","656,00","737,00","69,00","61,00","8,00","0,00","0,00","11,00","8,00","9,00","6,00","9,00","268,00","42,00","18,00","45,00","90,00","0,00","18,00","94,00","2,00","2,00","8,00","1,00","5,00","23,00","63,00","162,00","28,00","2,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","462,00",NA,NA,"67,00","1 707,70","33 370,64","81,00","-10 613,51","31 662,94","43 984,15","0,00","243,91","909,38","135,87","0,40","11,33","12,36","10,43","29,27","29,55","962,75","27,00","13,00","41,00","Jihomoravský kraj","POHOŘELICE","Brno-venkov"
"Vranovice-Kelčice","9 696,75","787,44","7 689,59","646,07","0,00","10 818,59","899,38","504,79","1,00",NA,"606,00","118,00","87,00","174,00","190,00","18,00","19,00","5,00","0,00","0,00","2,00","2,00","0,00","4,00","3,00","63,00","9,00","2,00","7,00","18,00","0,00","11,00","20,00","3,00","1,00","1,00","0,00","1,00","8,00","14,00","37,00","8,00","1,00","1,00","0,00","1,00","0,00","0,00","0,00","0,00","111,00",NA,NA,"20,00","1 150,85","9 739,83","12,00","-10 775,51","8 588,98","20 515,34","0,00","54,45","525,96","104,59","35,26","29,54","0,00","6,96","17,95","12,75","608,70","16,00","8,00","7,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vranovská Ves","5 263,79","429,80","3 447,90","94,08","0,28","322,74","3 722,36","855,17","0,00",NA,"295,00","50,00","48,00","88,00","94,00","9,00","6,00","1,00","0,00","0,00","0,00","2,00","0,00","1,00","0,00","36,00","6,00","2,00","3,00","14,00","0,00","4,00","11,00","1,00","1,00","0,00","0,00","0,00","6,00","10,00","21,00","4,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","62,00",NA,"1,00","18,00","949,25","8 119,79","11,00","2 533,26","7 170,53","5 586,52","0,00","149,27","239,91","16,40","2,37","6,32","0,00","0,71","8,35","6,48","256,95","7,00","1,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vraný","8 217,55","1 700,51","9 369,74","5 483,51","10,00","11 540,43","2 359,51","279,74","5,00",NA,"764,00","139,00","127,00","207,00","239,00","28,00","24,00","2,00","0,00","0,00","3,00","8,00","1,00","2,00","2,00","67,00","9,00","2,00","8,00","20,00","0,00","8,00","29,00","2,00","0,00","2,00","0,00","1,00","10,00","9,00","39,00","7,00","2,00","0,00","0,00","1,00","0,00","0,00","2,00","0,00","118,00",NA,NA,"22,00","5 763,25","17 502,50","33,00","-2 255,48","11 739,25","19 757,98","13,97","194,76","1 352,66","61,46","2,72","25,62","0,00","7,78","18,73","22,81","1 413,71","24,00","9,00","9,00","Středočeský kraj","SLANÝ","Kladno"
"Vratěnín","5 192,84","1 472,52","5 137,42","200,00","406,85","5 009,22","1 497,44","265,42","0,00",NA,"307,00","49,00","49,00","87,00","94,00","15,00","13,00","0,00","0,00","0,00","4,00","0,00","0,00","0,00","0,00","40,00","7,00","1,00","1,00","19,00","0,00","6,00","12,00","2,00","0,00","0,00","0,00","0,00","17,00","3,00","25,00","5,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","72,00",NA,NA,"24,00","465,42","7 507,13","7,00","-2 694,92","7 041,71","10 202,05","0,00","293,32","1 056,51","64,47","0,84","30,86","0,00","11,37","4,02","11,14","1 092,23","8,00","3,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
