"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Bělkovice-Lašťany","15 471,49","17 657,80","0,00","1 875,57","4 400,90","2 197,92","372,98","12,00","2 087,00","283,00","366,00","688,00","633,00","57,00","60,00","428,00","54,00","372,98","22 104,27","74,00","2 231,88","21 731,29","19 872,39","39,00","19,00","31,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","928,74","1 176,83","0,00","19,89","10,00","78,74","153,26","5,00","142,00","18,00","27,00","43,00","39,00","6,00","9,00","33,00","1,00","153,26","1 428,72","20,00","489,98","1 275,46","938,74","1,00","0,00","2,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","23 012,27","24 482,20","19 889,00","122,44","29 932,24","6 647,33","1 234,42","3,00","1 701,00","199,00","289,00","568,00","517,00","63,00","65,00","311,00","77,00","21 123,42","52 375,39","51,00","-569,12","31 251,97","52 944,51","31,00","18,00","19,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","2 514,58","2 371,10","0,00","19,87","384,78","169,34","424,73","1,00","199,00","23,00","19,00","71,00","71,00","8,00","7,00","45,00","20,00","424,73","2 985,04","27,00","85,68","2 560,31","2 899,36","10,00","3,00","5,00","Ústecký kraj","MOST","Most"
"Bělušice","1 495,95","1 927,04","0,00","0,00","0,00","80,66","22,07",NA,"269,00","47,00","42,00","88,00","79,00","7,00","6,00","60,00","12,00","22,07","2 029,77","16,00","533,82","2 007,70","1 495,95","7,00","1,00","3,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","462,96","1 221,45","0,00","0,00","1 031,73","61,59","27,20",NA,"97,00","10,00","20,00","31,00","26,00","5,00","5,00","32,00","4,00","27,20","1 310,24","3,00","-184,45","1 283,04","1 494,69","2,00","0,00","2,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","3 040,22","2 836,38","0,00","6,89","4 786,21","1 883,60","54,60","4,00","360,00","38,00","69,00","112,00","125,00","9,00","7,00","71,00","12,00","54,60","4 781,47","16,00","-3 044,96","4 726,87","7 826,43","1,00","2,00","6,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","105 159,69","111 459,98","33 803,70","30 717,75","96 901,44","23 141,97","10 404,01","18,00","7 292,00","996,00","1 113,00","2 368,00","2 329,00","244,00","242,00","1 556,00","154,00","44 207,71","209 527,41","285,00","7 466,28","165 319,70","202 061,13","171,00","79,00","100,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","17 884,48","12 207,77","100,00","1 232,24","1 049,34","4 971,57","1 447,51","3,00","1 105,00","188,00","145,00","363,00","334,00","29,00","46,00","386,00","40,00","1 547,51","19 959,09","37,00","1 025,27","18 411,58","18 933,82","21,00","10,00","5,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","386 299,01","222 571,63","3 131,16","8 596,07","94 507,57","142 031,45","140 974,50","41,00","16 395,00","2 267,00","2 196,00","5 463,00","5 425,00","548,00","496,00","5 203,00","270,00","144 105,66","517 304,81","406,00","36 498,23","373 199,15","480 806,58","422,00","161,00","197,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","4 854,01","5 641,62","4 807,92","448,77","12 711,10","383,35","1 569,49","4,00","652,00","100,00","105,00","217,00","188,00","20,00","22,00","121,00","21,00","6 377,41","12 851,15","13,00","-4 713,96","6 473,74","17 565,11","15,00","2,00","12,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","23 989,53","18 437,26","1 082,73","151,88","2 037,40","10 680,07","1 331,36","1,00","1 379,00","162,00","211,00","443,00","485,00","35,00","43,00","292,00","46,00","2 414,09","31 683,30","106,00","5 656,37","29 269,21","26 026,93","178,00","21,00","17,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","48 614,68","33 559,09","0,00","371,81","3 563,79","6 166,25","12 077,45","1,00","3 996,00","521,00","642,00","1 314,00","1 203,00","146,00","170,00","849,00","282,00","12 077,45","52 174,60","80,00","-3,87","40 097,15","52 178,47","101,00","35,00","58,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","7 314,26","6 705,61","519,18","0,00","834,45","1 385,78","257,60","3,00","842,00","108,00","146,00","271,00","254,00","40,00","23,00","153,00","38,00","776,78","8 868,17","19,00","719,46","8 091,39","8 148,71","21,00","6,00","12,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","4 441,56","2 256,35","0,00","534,06","0,00","1 530,59","561,22",NA,"170,00","24,00","18,00","58,00","58,00","7,00","5,00","24,00","13,00","561,22","4 882,22","3,00","440,66","4 321,00","4 441,56","8,00","2,00","1,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","2 607,11","1 559,08","0,00","0,00","605,00","1 657,10","253,23",NA,"199,00","28,00","38,00","63,00","55,00","8,00","7,00","37,00","7,00","253,23","3 469,41","3,00","257,30","3 216,18","3 212,11","0,00","2,00","3,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","7 528,40","6 336,46","300,00","18,09","732,47","1 321,58","654,41",NA,"693,00","123,00","85,00","236,00","214,00","18,00","17,00","136,00","26,00","954,41","8 630,54","26,00","369,67","7 676,13","8 260,87","7,00","4,00","6,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","884,33","1 411,91","230,00","0,00","292,53","71,88","16,01",NA,"167,00","36,00","19,00","49,00","53,00","5,00","5,00","32,00","4,00","246,01","1 729,80","9,00","552,94","1 483,79","1 176,86","1,00","4,00","2,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","14 753,25","12 619,66","532,13","2 376,91","7 522,60","3 372,70","1 953,59","1,00","1 244,00","238,00","155,00","397,00","360,00","52,00","42,00","241,00","45,00","2 485,72","20 854,99","32,00","-1 420,86","18 369,27","22 275,85","24,00","16,00","11,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","2 336,90","2 265,83","134,00","32,83","938,84","1 133,38","157,35",NA,"223,00","43,00","28,00","68,00","69,00","9,00","6,00","42,00","7,00","291,35","3 723,39","4,00","447,65","3 432,04","3 275,74","6,00","1,00","1,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","11 775,23","8 409,45","3 500,00","366,22","8 999,11","4 404,73","1 236,74","9,00","911,00","137,00","128,00","309,00","270,00","32,00","35,00","200,00","34,00","4 736,74","17 917,14","21,00","-2 857,20","13 180,40","20 774,34","22,00","7,00","7,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","8 638,68","7 703,39","300,00","1 584,60","851,10","406,12","265,72","3,00","889,00","115,00","154,00","289,00","285,00","18,00","28,00","157,00","22,00","565,72","10 259,83","54,00","770,05","9 694,11","9 489,78","31,00","8,00","7,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","379 758,76","247 697,08","12 920,20","66 249,76","120 572,95","20 177,52","181 329,55","95,00","18 517,00","2 693,00","2 705,00","5 959,00","5 911,00","690,00","559,00","5 032,00","503,00","194 249,75","528 374,11","676,00","28 042,40","334 124,36","500 331,71","604,00","172,00","265,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","2 216,04","3 630,62","0,00","0,00","281,03","194,75","150,71","2,00","391,00","38,00","74,00","133,00","130,00","7,00","9,00","77,00","12,00","150,71","3 976,08","37,00","1 479,01","3 825,37","2 497,07","49,00","1,00","10,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","7 515,50","9 989,55","0,00","53,00","60,50","627,36","777,39",NA,"887,00","151,00","126,00","288,00","266,00","29,00","27,00","184,00","45,00","777,39","11 447,30","20,00","3 871,30","10 669,91","7 576,00","31,00","17,00","9,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","11 721,96","7 515,24","100,00","100,49","2 612,11","6 118,66","2 650,33","3,00","867,00","124,00","148,00","258,00","284,00","30,00","23,00","177,00","25,00","2 750,33","16 484,72","15,00","2 150,65","13 734,39","14 334,07","12,00","15,00","12,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","8 560,09","7 317,60","0,00","6 052,59","1 763,78","1 743,62","1 430,54",NA,"844,00","127,00","125,00","283,00","253,00","22,00","34,00","186,00","26,00","1 430,54","16 544,35","22,00","6 220,48","15 113,81","10 323,87","19,00","8,00","13,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","1 796,86","2 586,08","0,00","410,31","1 286,27","69,67","20,23","1,00","301,00","50,00","36,00","97,00","84,00","19,00","15,00","47,00","3,00","20,23","3 086,29","12,00","3,16","3 066,06","3 083,13","4,00","6,00","2,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","1 603,19","3 887,99","250,00","282,63","403,15","284,35","44,11","2,00","423,00","52,00","65,00","146,00","137,00","12,00","11,00","100,00","12,00","294,11","4 749,08","9,00","2 742,74","4 454,97","2 006,34","6,00","2,00","3,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","5 829,29","4 489,17","0,00","20,13","1 601,51","322,96","2 397,31","5,00","511,00","92,00","83,00","153,00","132,00","25,00","26,00","91,00","23,00","2 397,31","7 229,57","27,00","-201,23","4 832,26","7 430,80","9,00","9,00","4,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","2 109,29","2 241,58","0,00","0,00","225,74","163,81","259,78",NA,"222,00","37,00","29,00","69,00","69,00","10,00","8,00","29,00","14,00","259,78","2 665,17","4,00","330,14","2 405,39","2 335,03","5,00","0,00","2,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","2 192,79","2 922,81","0,00","41,40","240,60","469,35","157,43","1,00","317,00","55,00","33,00","109,00","90,00","17,00","13,00","65,00","6,00","157,43","3 590,99","9,00","1 157,60","3 433,56","2 433,39","11,00","4,00","5,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","1 366,02","2 492,36","0,00","0,00","2 374,79","74,23","27,20","3,00","258,00","36,00","46,00","84,00","70,00","11,00","11,00","51,00","5,00","27,20","2 593,79","10,00","-1 147,02","2 566,59","3 740,81","13,00","4,00","2,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","6 830,71","8 055,54","280,00","335,69","8 943,26","2 730,07","404,86","8,00","918,00","129,00","144,00","295,00","289,00","28,00","33,00","171,00","37,00","684,86","11 806,16","23,00","-3 967,81","11 121,30","15 773,97","11,00","2,00","10,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","1 797,34","2 144,26","0,00","0,00","310,99","460,80","157,65","1,00","254,00","50,00","36,00","66,00","80,00","8,00","14,00","47,00","9,00","157,65","2 762,71","8,00","654,38","2 605,06","2 108,33","8,00","1,00","4,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","475,56","779,75","0,00","0,00","214,73","56,05","27,20",NA,"118,00","20,00","20,00","38,00","34,00","4,00","2,00","18,00","4,00","27,20","863,00","12,00","172,71","835,80","690,29","2,00","1,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","4 703,51","3 956,17","32,01","76,26","1 046,58","586,18","690,51",NA,"500,00","84,00","73,00","171,00","141,00","21,00","10,00","117,00","8,00","722,52","5 341,13","7,00","-408,96","4 618,61","5 750,09","9,00","4,00","5,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","1 541,61","1 286,34","0,00","1,40","122,41","497,16","99,90",NA,"149,00","22,00","21,00","50,00","46,00","4,00","6,00","32,00","5,00","99,90","1 884,80","3,00","220,78","1 784,90","1 664,02","4,00","1,00","1,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","3 192,13","3 771,53","160,00","434,95","886,32","741,96","161,36","2,00","293,00","46,00","33,00","97,00","94,00","13,00","10,00","79,00","10,00","321,36","5 269,80","4,00","1 191,35","4 948,44","4 078,45","7,00","3,00","3,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","17 033,95","10 460,39","707,35","3 928,44","12 768,60","5 558,64","3 070,30","1,00","976,00","122,00","153,00","338,00","305,00","31,00","27,00","190,00","79,00","3 777,65","23 725,12","20,00","-6 077,43","19 947,47","29 802,55","28,00","10,00","6,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","1 725,50","2 069,48","136,00","22,48","220,82","54,49","304,12",NA,"213,00","45,00","35,00","62,00","63,00","3,00","5,00","41,00","7,00","440,12","2 586,57","9,00","640,25","2 146,45","1 946,32","3,00","2,00","2,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","3 826,95","5 538,21","0,00","38,33","1 737,23","154,57","164,61","2,00","565,00","77,00","88,00","196,00","180,00","13,00","11,00","110,00","30,00","164,61","5 895,72","24,00","331,54","5 731,11","5 564,18","30,00","7,00","6,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","11 085,23","7 850,10","0,00","1,60","1 827,30","1 976,39","2 755,09","1,00","876,00","106,00","166,00","280,00","258,00","35,00","31,00","207,00","15,00","2 755,09","12 583,18","35,00","-329,35","9 828,09","12 912,53","27,00","12,00","16,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","1 990,10","1 722,11","400,00","0,00","995,75","369,02","318,40",NA,"194,00","32,00","32,00","57,00","57,00","7,00","9,00","36,00","6,00","718,40","2 809,53","6,00","-176,32","2 091,13","2 985,85","0,00","1,00","2,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","9 391,76","7 519,78","0,00","4,56","762,74","3 835,76","801,10","1,00","672,00","77,00","117,00","217,00","208,00","22,00","31,00","94,00","39,00","801,10","12 161,20","21,00","2 006,70","11 360,10","10 154,50","17,00","7,00","5,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","6 174,21","5 449,83","1 190,00","1 554,73","3 391,57","3 749,27","660,36",NA,"290,00","48,00","40,00","95,00","84,00","14,00","9,00","108,00","17,00","1 850,36","12 604,19","10,00","3 038,41","10 753,83","9 565,78","10,00","6,00","3,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","7 030,94","7 431,75","555,00","30,05","1 519,57","1 001,22","371,50",NA,"822,00","96,00","123,00","280,00","269,00","28,00","26,00","222,00","29,00","926,50","9 389,52","31,00","839,01","8 463,02","8 550,51","30,00","8,00","11,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","974,64","1 088,81","0,00","0,00","0,00","50,43","88,80",NA,"104,00","14,00","18,00","30,00","36,00","2,00","4,00","20,00","1,00","88,80","1 228,04","2,00","253,40","1 139,24","974,64","0,00","1,00","2,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","7 978,51","9 762,12","57,00","41,48","1 563,03","1 232,73","1 030,78","4,00","1 119,00","188,00","149,00","355,00","356,00","34,00","37,00","184,00","31,00","1 087,78","12 124,11","33,00","2 582,57","11 036,33","9 541,54","21,00","15,00","15,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","12 132,76","10 991,20","0,00","133,94","3 702,18","3 810,52","1 422,13","2,00","1 339,00","198,00","218,00","414,00","399,00","51,00","59,00","262,00","32,00","1 422,13","16 357,79","37,00","522,85","14 935,66","15 834,94","29,00","15,00","16,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","3 172,24","3 397,88","0,00","17,07","0,00","1 111,44","209,56",NA,"240,00","36,00","35,00","79,00","67,00","10,00","13,00","30,00","15,00","209,56","4 735,95","5,00","1 563,71","4 526,39","3 172,24","8,00","3,00","0,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","4 579,02","6 023,92","134,00","0,00","1 511,76","595,96","364,38",NA,"592,00","102,00","71,00","188,00","183,00","26,00","22,00","119,00","18,00","498,38","7 118,26","22,00","1 027,48","6 619,88","6 090,78","11,00","9,00","5,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","1 105,42","1 583,57","0,00","15,23","372,40","150,86","355,07",NA,"149,00","29,00","22,00","42,00","37,00","10,00","9,00","36,00","8,00","355,07","2 104,73","5,00","626,91","1 749,66","1 477,82","5,00","2,00","2,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","2 815,54","2 758,16","287,00","119,68","1 289,91","260,77","671,15","1,00","243,00","21,00","43,00","84,00","79,00","6,00","10,00","40,00","25,00","958,15","4 096,76","10,00","-8,69","3 138,61","4 105,45","1,00","1,00","2,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","1 558,97","1 956,77","8 266,00","29,56","8 863,00","90,03","204,43",NA,"173,00","32,00","24,00","54,00","46,00","8,00","9,00","30,00","8,00","8 470,43","10 546,79","15,00","124,82","2 076,36","10 421,97","2,00","0,00","3,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","280 775,53","174 775,85","35 667,00","24 883,78","49 731,62","79 867,18","74 084,86","3,00","15 883,00","1 862,00","2 719,00","5 063,00","5 069,00","605,00","565,00","2 551,00","945,00","109 751,86","389 278,67","543,00","58 771,52","279 526,81","330 507,15","430,00","176,00","215,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","5 417,18","5 568,85","793,25","857,20","4 338,87","2 762,53","776,84",NA,"569,00","71,00","93,00","187,00","182,00","20,00","16,00","95,00","24,00","1 570,09","10 758,67","17,00","1 002,62","9 188,58","9 756,05","18,00","5,00","4,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","1 678,80","1 134,18","0,00","0,00","0,00","389,94","244,26",NA,"79,00","18,00","11,00","22,00","18,00","6,00","4,00","16,00","1,00","244,26","1 768,38","2,00","89,58","1 524,12","1 678,80","5,00","1,00","1,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","190 284,62","75 948,82","20 757,91","9 080,88","47 084,17","33 868,41","98 920,70","12,00","7 558,00","1 017,00","1 161,00","2 496,00","2 392,00","265,00","227,00","1 548,00","302,00","119 678,61","238 576,72","158,00","1 207,93","118 898,11","237 368,79","140,00","70,00","91,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","12 592,68","14 321,75","4 054,70","25,00","9 892,64","1 898,73","3 171,83","2,00","1 753,00","250,00","277,00","584,00","552,00","44,00","46,00","353,00","52,00","7 226,53","23 472,01","54,00","986,69","16 245,48","22 485,32","19,00","17,00","20,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","24 868,87","24 412,03","9 950,00","240,97","17 625,44","3 999,02","2 197,77","23,00","3 292,00","419,00","653,00","1 048,00","966,00","110,00","96,00","740,00","63,00","12 147,77","40 799,79","319,00","-1 694,52","28 652,02","42 494,31","239,00","21,00","84,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","2 662,95","4 493,78","0,00","0,00","3 918,41","808,96","84,00","2,00","515,00","74,00","94,00","164,00","141,00","23,00","19,00","82,00","12,00","84,00","5 386,74","4,00","-1 194,62","5 302,74","6 581,36","8,00","1,00","3,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","3 414,09","1 993,90","75,00","16,32","561,16","332,33","135,76",NA,"217,00","28,00","36,00","64,00","66,00","14,00","9,00","33,00","12,00","210,76","2 553,31","10,00","-1 421,94","2 342,55","3 975,25","0,00","2,00","3,00","Jihočeský kraj","VODŇANY","Strakonice"
